FIPS,"Hospitalization Rate per 100,000",Unemployment Initial Claims,"Hospitals per 100,000","Deaths per 100,000"
1001,NaN,46.9045,1.8,1422.6
1003,NaN,49.7753,1.8,1360.9
1005,NaN,55.9471,4,1897
1007,NaN,57.6821,4.5,2102.7
1009,NaN,26.8423,1.7,1875.9
1011,NaN,51.8533,9.9,2002.4
1013,NaN,65.2102,10.2,2149.4
1015,NaN,69.563,3.5,2076.5
1017,NaN,58.6162,3,1945.6
1019,NaN,30.4689,3.8,2181.9
1021,NaN,41.6662,2.3,1877.6
1023,NaN,41.9216,7.8,2094.9
1025,NaN,73.9116,8.4,1831.1
1027,NaN,35.7932,7.5,2071.6
1029,NaN,36.3476,0,2035.1
1031,NaN,42.1371,1.9,1535.4
1033,NaN,58.1659,3.7,1906.4
1035,NaN,60.9882,8.1,2134.1
1037,NaN,47.6119,0,2025.2
1039,NaN,42.873,8.1,2108.9
1041,NaN,48.1633,14.5,2097.8
1043,NaN,39.8097,2.4,1798.9
1045,NaN,42.4304,2,1754.6
1047,NaN,85.865,2.6,2396.2
1049,NaN,38.3019,1.4,1823.9
1051,NaN,45.5529,2.4,1500.8
1053,NaN,50.06,5.4,2236.9
1055,NaN,58.4713,3.9,2147.3
1057,NaN,43.1336,6.1,2081.2
1059,NaN,44.8961,6.4,1693.1
1061,NaN,37.5423,3.8,2162.3
1063,NaN,80.1914,12.1,2234.9
1065,NaN,85.677,6.8,2118.7
1067,NaN,41.876,0,1929.2
1069,NaN,48.614,4.8,1563.2
1071,NaN,45.6454,1.9,2176.4
1073,NaN,57.5691,2.1,1700.9
1075,NaN,44.732,0,2094.8
1077,NaN,47.7146,1.1,1681
1079,NaN,35.6976,3,2020.8
1081,NaN,38.4721,0.6,1037.6
1083,NaN,33.3879,2.1,1308
1085,NaN,89.093,0,2496.5
1087,NaN,61.7287,5.4,2337.4
1089,NaN,44.1375,1.9,1311
1091,NaN,45.775,5.2,2176.6
1093,NaN,48.2287,6.7,2083.1
1095,NaN,48.1647,2.1,1848.9
1097,NaN,65.1534,1.7,1722.3
1099,NaN,67.9665,4.7,1988.9
1101,NaN,69.0073,3.5,1471.9
1103,NaN,46.1521,3.4,1669.3
1105,NaN,79.497,0,2231.9
1107,NaN,46.956,5,1640.1
1109,NaN,43.863,3,1562.8
1111,NaN,36.1338,4.4,2024.2
1113,NaN,47.586,3.5,1900.3
1115,NaN,41.989,1.1,1712.7
1117,NaN,24.4406,1.4,1014.3
1119,NaN,49.0636,7.9,1875.3
1121,NaN,59.937,2.5,2135.8
1123,NaN,48.7155,4.9,1992.7
1125,NaN,51.8914,3.4,1316.4
1127,NaN,58.0937,1.6,2629.1
1129,NaN,53.5671,6.1,1911.1
1131,NaN,113.245,9.4,2427.8
1133,NaN,48.2425,4.2,2176.7
2013,NaN,NaN,0,0
2016,NaN,NaN,17.5,0
2020,NaN,NaN,3.1,1098.7
2050,NaN,NaN,5.5,1366.9
2060,NaN,NaN,0,0
2068,NaN,NaN,0,0
2070,NaN,NaN,20,1300
2090,NaN,NaN,3,951.8
2100,NaN,NaN,0,0
2105,NaN,NaN,0,0
2110,NaN,NaN,3.1,1080.6
2122,NaN,NaN,5.1,1448.8
2130,NaN,NaN,7.2,1214.3
2150,NaN,NaN,7.5,801.8
2158,NaN,NaN,0,1553.7
2164,NaN,NaN,0,0
2170,NaN,NaN,0.9,1052.9
2180,NaN,NaN,10,1528.8
2185,NaN,NaN,10.1,1164.9
2188,NaN,NaN,13,1525.2
2195,NaN,NaN,0,0
2198,NaN,NaN,0,1759.6
2220,NaN,NaN,23.1,1064
2230,NaN,NaN,0,0
2240,NaN,NaN,0,1185.3
2261,NaN,NaN,32.7,1189.4
2275,NaN,NaN,0,0
2282,NaN,NaN,0,0
2290,NaN,NaN,0,2140
4001,NaN,14.7108,5.6,1804.6
4003,NaN,14.0977,7.1,1408.1
4005,NaN,17.4486,3.5,1055.6
4007,NaN,14.1452,7.4,2141.4
4009,NaN,12.8411,2.6,1221.4
4011,NaN,10.5556,0,1086.2
4012,NaN,10.8009,9.5,2393.6
4013,NaN,18.3214,1.8,984.8
4015,NaN,14.3481,2.4,2291.1
4017,NaN,16.3087,5.4,1647.9
4019,NaN,17.8058,2,1218.2
4021,NaN,17.2105,1.6,1095
4023,NaN,23.0103,2.2,754.7
4025,NaN,15.6853,3,1560.8
4027,NaN,30.5901,1.4,940
5001,NaN,NaN,11.3,2048.5
5003,NaN,NaN,5,1985.4
5005,NaN,NaN,2.4,1915
5007,NaN,NaN,1.8,950.1
5009,NaN,NaN,2.7,1646.2
5011,NaN,NaN,9.2,1973
5013,NaN,NaN,0,2311.9
5015,NaN,NaN,7.1,1771.6
5017,NaN,NaN,19.2,2203.5
5019,NaN,NaN,4.5,1432.4
5021,NaN,NaN,6.7,2215.9
5023,NaN,NaN,4,1950.7
5025,NaN,NaN,0,1945.6
5027,NaN,NaN,4.2,1695.2
5029,NaN,NaN,4.8,1938.6
5031,NaN,NaN,5.5,1280.4
5033,NaN,NaN,1.6,1591.3
5035,NaN,NaN,6.2,1909.3
5037,NaN,NaN,6,2170.8
5039,NaN,NaN,13.9,2478.4
5041,NaN,NaN,17.4,2319.3
5043,NaN,NaN,5.5,1751.4
5045,NaN,NaN,3.2,1225.1
5047,NaN,NaN,5.6,1847.3
5049,NaN,NaN,8.2,1988.8
5051,NaN,NaN,6.1,1912.2
5053,NaN,NaN,0,1611
5055,NaN,NaN,2.2,1756.2
5057,NaN,NaN,4.6,1734.1
5059,NaN,NaN,5.9,2005.9
5061,NaN,NaN,7.5,1873.9
5063,NaN,NaN,2.7,1539.4
5065,NaN,NaN,7.4,2140.8
5067,NaN,NaN,5.9,2206.9
5069,NaN,NaN,2.9,2070.1
5071,NaN,NaN,3.7,1566.8
5073,NaN,NaN,0,2199.9
5075,NaN,NaN,6.1,2160.2
5077,NaN,NaN,0,2036.7
5079,NaN,NaN,0,1733.5
5081,NaN,NaN,8.1,1979.6
5083,NaN,NaN,9.2,1849.4
5085,NaN,NaN,0,1498.8
5087,NaN,NaN,0,1905.2
5089,NaN,NaN,0,2398
5091,NaN,NaN,2.3,1995.8
5093,NaN,NaN,4.8,2293.9
5095,NaN,NaN,0,3058
5097,NaN,NaN,0,1815.3
5099,NaN,NaN,0,2101.8
5101,NaN,NaN,0,1755.3
5103,NaN,NaN,4.2,2190.1
5105,NaN,NaN,0,1632.5
5107,NaN,NaN,5.5,2240.8
5109,NaN,NaN,9.4,1742.7
5111,NaN,NaN,0,2344.2
5113,NaN,NaN,5,1870.4
5115,NaN,NaN,1.6,1407.8
5117,NaN,NaN,0,2093.1
5119,NaN,NaN,5.1,1489.3
5121,NaN,NaN,5.6,1950.1
5123,NaN,NaN,3.9,1894.7
5125,NaN,NaN,1.6,1417.4
5127,NaN,NaN,9.7,2093.2
5129,NaN,NaN,0,1872.3
5131,NaN,NaN,5.5,1554.6
5133,NaN,NaN,5.8,1423.7
5135,NaN,NaN,0,2337.9
5137,NaN,NaN,8,1998.9
5139,NaN,NaN,2.6,2108.6
5141,NaN,NaN,6,1770.8
5143,NaN,NaN,4.6,1020.8
5145,NaN,NaN,3.8,1592.8
5147,NaN,NaN,0,2557.8
5149,NaN,NaN,9.3,1885.3
6001,NaN,62.008,1.6,762.8
6003,NaN,53.188,0,0
6005,NaN,68.132,2.5,1343.2
6007,NaN,64.192,3,1411
6009,NaN,56.85,2.2,1594.2
6011,NaN,83.58,4.6,1054.2
6013,NaN,63.483,1,817.2
6015,NaN,66.573,3.6,1836.3
6017,NaN,56.275,1.6,1032.1
6019,NaN,78.323,1.5,1017.8
6021,NaN,59.473,3.6,1190.9
6023,NaN,62.236,4.4,1524.5
6025,NaN,140.475,1.1,899.8
6027,NaN,54.688,11.1,1578.9
6029,NaN,80.832,1.7,1131.1
6031,NaN,80.503,2.6,903.8
6033,NaN,69.773,3.1,2233.5
6035,NaN,45.5606,3.2,1275.9
6037,NaN,75.6,1.3,834.2
6039,NaN,72.696,1.3,1038.2
6041,NaN,44.4826,1.5,700.1
6043,NaN,75.142,5.7,1625.6
6045,NaN,61.437,3.4,1410.9
6047,NaN,84.769,1.1,980.8
6049,NaN,42.8249,22.8,1868.5
6051,NaN,81.42,7,729.8
6053,NaN,64.13,0.9,767.2
6055,NaN,64.747,2.2,921
6057,NaN,59.883,2,1224.7
6059,NaN,67.207,1.3,714.2
6061,NaN,55.573,1,879.1
6063,NaN,60.386,16,1786.9
6065,NaN,78.605,1,930
6067,NaN,71.612,1.2,1053.5
6069,NaN,75.291,3.3,775.1
6071,NaN,75.352,1.5,1043.2
6073,NaN,71.143,1.1,787.2
6075,NaN,51.515,2.2,780.9
6077,NaN,84.061,1.3,1110.1
6079,NaN,55.692,2.1,978.5
6081,NaN,45.0004,1.4,629.5
6083,NaN,56.773,2,787.9
6085,NaN,49.525,0.9,601.9
6087,NaN,65.627,1.8,825.1
6089,NaN,75.066,3.9,1727.4
6091,NaN,45.149,33.5,0
6093,NaN,69.548,4.6,1875.4
6095,NaN,71.851,1.6,1072.3
6097,NaN,58.569,2.4,975.1
6099,NaN,81.016,2,1138.7
6101,NaN,75.989,4.1,1185.9
6103,NaN,56.543,3.1,1589.6
6105,NaN,53.3047,8,2002.4
6107,NaN,83.021,1.5,1007.4
6109,NaN,74.654,5.5,1509
6111,NaN,64.769,1.4,788.2
6113,NaN,50.276,0.9,736.8
6115,NaN,80.655,2.6,1491.5
8001,NaN,24.2396,1.4,910
8003,NaN,20.661,6,1234.8
8005,NaN,23.9337,1.4,802.8
8007,NaN,22.679,7.3,1118.8
8009,NaN,8.182,27.9,0
8011,NaN,11.563,0,1802.1
8013,NaN,18.7663,2.1,679.6
8014,NaN,20.3552,2.9,667
8015,NaN,18.8016,5,1078.5
8017,NaN,7.852,53.3,0
8019,NaN,27.8072,0,1051.5
8021,NaN,15.218,12.2,1500
8023,NaN,15.529,0,0
8025,NaN,14.227,0,0
8027,NaN,12.888,0,0
8029,NaN,16.1514,3.2,1554
8031,NaN,25.2398,2.5,938.3
8033,NaN,20.096,0,0
8035,NaN,17.1975,1.8,514.3
8037,NaN,29.7857,1.8,447.3
8039,NaN,12.367,0,840.9
8041,NaN,23.1452,1.7,1033.7
8043,NaN,20.8934,2.1,1578.5
8045,NaN,21.4766,3.3,870
8047,NaN,35.495,0,0
8049,NaN,26.5213,12.9,805.2
8051,NaN,23.5556,5.8,678.4
8053,NaN,21.68,0,0
8055,NaN,23.565,14.5,2003.2
8057,NaN,10.874,0,0
8059,NaN,21.18,0.5,939.1
8061,NaN,9.022,72.3,0
8063,NaN,6.548,14,1158.7
8065,NaN,27.155,12.8,856.3
8067,NaN,22.0765,3.6,873.7
8069,NaN,20.2301,2.3,822.5
8071,NaN,18.988,6.9,1958.2
8073,NaN,13.9,17.8,1087.3
8075,NaN,13.5807,4.6,1277.4
8077,NaN,21.2108,2.6,1274.1
8079,NaN,15.19,0,0
8081,NaN,16.4345,7.6,1289.1
8083,NaN,16.3611,3.8,1376.3
8085,NaN,18.2633,2.4,1210.5
8087,NaN,14.8633,7,1218.6
8089,NaN,16.7216,5.4,1681.9
8091,NaN,27.051,0,0
8093,NaN,16.0163,0,1104.8
8095,NaN,6.65,46.7,0
8097,NaN,38.7544,5.6,546
8099,NaN,12.5576,8.2,1520.9
8101,NaN,26.9947,2.4,1569.3
8103,NaN,12.223,31.6,1183.7
8105,NaN,19.394,8.9,1537.8
8107,NaN,27.8992,3.9,800.5
8109,NaN,20.511,0,1373.7
8111,NaN,17.54,0,0
8113,NaN,38.865,0,0
8115,NaN,5.446,43.4,0
8117,NaN,32.5271,3.2,480.5
8119,NaN,21.6386,4,1231.9
8121,NaN,5.531,0,1344.5
8123,NaN,20.6027,0.6,860.6
8125,NaN,5.0782,20,938.1
9001,NaN,NaN,0.8,752.7
9003,NaN,NaN,1.3,1032.2
9005,NaN,NaN,1.7,1140.7
9007,NaN,NaN,1.2,1098.5
9009,NaN,NaN,1.2,1068.4
9011,NaN,NaN,0.7,1152.6
9013,NaN,NaN,2,879.9
9015,NaN,NaN,1.7,1218.5
10001,NaN,NaN,1.1,1358.2
10003,NaN,NaN,1.8,1220
10005,NaN,NaN,1.7,1493.8
11001,NaN,56.235,2.1,1194
12001,460.4,NaN,2.2,1041.3
12003,634.8,NaN,7.1,1671.7
12005,466.3,NaN,2.7,1701.1
12007,530.1,NaN,3.6,1806.6
12009,386.4,NaN,2,1611.3
12011,516.3,NaN,1.4,1024.8
12013,404.5,NaN,6.9,2241.7
12015,511.4,NaN,2.2,1584.9
12017,480,NaN,1.4,2201.7
12019,434.1,NaN,1.4,1272.3
12021,449.4,NaN,1.6,878.8
12023,670.9,NaN,4.3,1886.4
12027,786.9,NaN,2.7,1435.1
12029,682.6,NaN,0,2311.4
12031,223,NaN,1.6,1453
12033,701.4,NaN,2.9,1637.9
12035,356,NaN,0.9,1445.6
12037,281.2,NaN,8.5,1670.1
12039,910.8,NaN,4.4,1708.3
12041,438.2,NaN,0,1555.7
12043,524.6,NaN,0,1413.6
12045,618.7,NaN,6.2,1818.9
12047,566,NaN,0,1789
12049,825.8,NaN,3.7,1222.2
12051,849.5,NaN,2.4,1236.9
12053,528.6,NaN,2.6,1731.6
12055,639.3,NaN,2.8,1777.6
12057,214.1,NaN,1.5,1093.8
12059,462.1,NaN,5.1,2166.7
12061,546.3,NaN,2.5,1323.9
12063,741.1,NaN,4.1,1987.4
12065,552.9,NaN,0,1882.7
12067,561.2,NaN,0,1534.6
12069,420.8,NaN,1.7,1413.8
12071,304.4,NaN,0.9,1194.5
12073,245.8,NaN,1.7,956.6
12075,549.4,NaN,2.5,2070.1
12077,272,NaN,0,1418.9
12079,480.3,NaN,10.8,1764.8
12081,385.5,NaN,1.3,1304.5
12083,583.1,NaN,1.9,1832.9
12085,489.1,NaN,3.1,1239.8
12086,486.2,NaN,1.3,875.8
12087,373.2,NaN,5.3,1584.8
12089,362.3,NaN,1.2,1602
12091,351.7,NaN,2.9,1286.3
12093,1028,NaN,2.4,1832.1
12095,199.8,NaN,1.3,904
12097,391.6,NaN,1.6,993.8
12099,459,NaN,1.3,1046.4
12101,489,NaN,1.9,1590
12103,498.1,NaN,1.8,1558.3
12105,725.3,NaN,0.8,1394.9
12107,763.2,NaN,1.3,2203.3
12109,317,NaN,0.4,1004.1
12111,558,NaN,1.9,1340
12113,501.8,NaN,2.8,1285.2
12115,327.6,NaN,1.6,1294.1
12117,264.4,NaN,1.3,1002.3
12119,445,NaN,1.6,1547.1
12121,721.9,NaN,2.3,1903.1
12123,448.6,NaN,9.2,2053.4
12125,555.6,NaN,20.1,3480.6
12127,400.3,NaN,1.6,1758.8
12129,505.2,NaN,0,1481.8
12131,437.1,NaN,2.8,1406.7
12133,550.6,NaN,4,2106.1
13001,924,70.3928,5.4,1777.7
13003,1386,60.6243,0,1735.6
13005,768.9,60.1523,8.9,2136.8
13007,1067.3,61.0518,0,0
13009,713.9,91.1363,4.5,1668.8
13011,984.8,66.0797,0,1595.7
13013,745,86.6632,1.2,1350.1
13015,774.4,119.2966,0.9,1410.6
13017,911.4,106.0117,6,1965.8
13019,363.6,84.6894,5.2,2031
13021,1146.3,113.7887,5.2,1764.3
13023,366.1,73.7317,7.8,1666.9
13025,402.2,75.3798,0,2069.1
13027,560.8,78.1053,6.4,1811.4
13029,454,91.6048,0,1262.2
13031,282,103.6434,2.6,1176
13033,669,95.8049,4.5,1868.6
13035,512.5,94.9161,4.1,2004.7
13037,1149.2,94.2936,15.7,1841.9
13039,251.5,71.1368,1.9,1201.6
13043,572.2,60.5205,9.2,2168.7
13045,262.4,101.9124,1.7,1545.9
13047,370.8,40.6327,1.5,1486.2
13049,478.1,48.3905,7.7,1472.9
13051,556.7,126.1262,3.1,1310.2
13053,280.8,39.4852,9.4,720.7
13055,710,36.857,0,2263
13057,497.3,76.4382,0.4,931.7
13059,384,106.1724,2.4,933.8
13061,346.4,220.991,0,0
13063,464.1,149.9904,1.4,1186.4
13065,992.8,46.18144,15,2331.5
13067,409.6,89.9491,0.8,858.1
13069,1496.8,80.0494,2.3,1721.9
13071,541.8,66.3247,4.4,1778.8
13073,302.7,62.0138,0,897.7
13075,623.5,97.6518,11.7,1771.4
13077,234.5,99.4115,2.1,1136.7
13079,552,58.946,0,1818.5
13081,712.4,157.8054,4.4,1836.2
13083,382.1,51.6944,6.2,1676.3
13085,976.8,92.9161,0,1503
13087,545.6,86.9606,3.8,2013.2
13089,598.1,111.3304,2.1,996.8
13091,512,76.0339,4.8,1825.6
13093,656.6,80.1753,0,1546.8
13095,1116.8,125.5634,2.2,1727.3
13097,584.2,116.914,1.4,1186.3
13099,712.4,57.1779,9.8,2098.2
13101,325,33.6906,0,1025
13103,394,72.519,3.2,1350.7
13105,669.5,101.3184,5.2,2013.6
13107,548.4,101.8485,4.4,2224.5
13109,671.6,66.669,9.3,1529.7
13111,670.2,63.3048,3.9,1864.1
13113,223.9,90.9531,0.9,936
13115,893.5,113.9743,4.1,1663.5
13117,400.7,66.3091,0.4,629.3
13119,660.2,109.718,8.7,1980.6
13121,459.4,128.4593,1.7,999.5
13123,675,84.1084,3.2,1700.4
13125,634.4,49.5911,0,2337.2
13127,522.2,112.719,2.3,1567.7
13129,565.1,119.1569,1.7,1577.5
13131,699,53.7078,4,1782
13133,768.4,100.4264,11.3,1666.9
13135,580.8,97.4781,0.6,739.2
13137,1037.7,75.3025,2.2,1399
13139,1165.5,77.7857,0.5,1067
13141,1257.8,108.7262,0,2000.5
13143,250.6,101.1607,3.4,2038.4
13145,449.6,81.8983,0,1198
13147,440.6,70.3978,3.8,1459.8
13149,378.8,90.0563,0,2062.5
13151,260.2,122.1787,0.9,1132.8
13153,474.7,83.3967,1.3,1216.3
13155,861.9,72.4305,10.6,1883.4
13157,717.1,86.4211,1.4,1349
13159,434.5,73.3934,7.1,1666.7
13161,625.5,63.5614,6.7,1909.6
13163,991.6,100.0654,6.5,2248.9
13165,955.9,85.2348,11.5,1796.6
13167,999.2,66.4305,0,1740.8
13169,562.6,54.8915,0,1453.7
13171,626.3,88.7637,0,1852.6
13173,261.1,66.7485,9.7,1566.7
13175,739.6,103.9097,4.2,1863.7
13177,618.2,144.7,0,1296.9
13179,354.5,93.9714,3.3,1219.6
13181,657,72.6457,0,1844.6
13183,247.4,52.9528,0,921.1
13185,322.4,116.5457,2.6,1305
13187,858.7,72.8209,3,1374.6
13189,733.8,112.8002,4.6,1899.6
13191,397.5,76.0914,0,1590
13193,616.3,120.712,7.6,2046.7
13195,526.1,93.9524,0,1561.6
13197,467,76.519,0,1844.1
13199,645.5,124.013,14.2,2126.4
13201,703.5,53.6938,17.6,2708.4
13205,1031.9,65.9551,4.5,1937.6
13207,694,64.8586,3.6,1642.4
13209,467.7,111.5949,0,1631.7
13211,445.6,78.8937,10.6,1654.9
13213,608.7,168.7543,2.5,1713.4
13215,590.7,133.2169,3.6,1665.1
13217,589.7,103.9636,0.9,1358.4
13219,328.5,63.7945,0,774.1
13221,498.2,60.0401,0,1368.4
13223,246.3,72.3397,1.2,984.5
13225,795,112.5513,7.3,1916
13227,647.3,72.5586,3.1,1629.1
13229,686,66.9652,0,1748.4
13231,375.7,74.8674,0,1497.3
13233,890,108.7824,2.4,1883.7
13235,487.8,64.5591,9,1752.6
13237,742.8,98.9747,4.6,1586.5
13239,482.7,34.74851,0,0
13241,889.3,71.0104,11.9,1612.6
13243,1185.4,158.4762,14.6,2151.3
13245,658.9,113.3162,5.5,1769.3
13247,952.6,115.8874,1.1,1276
13249,401.1,46.9548,0,1279.6
13251,516.6,146.951,7.2,1901.3
13253,793.7,80.0221,12,2333.1
13255,658.1,112.6517,1.5,1965.2
13257,971.8,100.1957,3.8,2093.3
13259,2016.5,54.7229,16.1,1774.5
13261,884.5,91.7743,3.4,2004.5
13263,653.7,79.0478,0,2072.7
13265,497.5,86.5748,0,0
13267,472.6,49.3881,3.9,1610.8
13269,895.6,89.955,12.4,2189.3
13271,434.6,74.6879,0,1543.2
13273,1289,90.1188,0,1939.4
13275,780.7,96.1653,4.5,1689.6
13277,1020.4,92.1182,2.5,1599.7
13279,643.4,94.4124,3.7,1915.4
13281,1071.5,89.6767,8.4,1822.5
13283,763.7,79.0036,0,1791.7
13285,698.2,127.8741,1.4,1693.5
13287,1087,110.1118,0,2161.3
13289,1221.3,79.8859,0,2430.4
13291,866.6,76.6392,4.2,1537.4
13293,671.4,120.2289,3.8,2174.3
13295,403.4,68.4052,0,1978.1
13297,528.3,91.8669,2.1,1451.3
13299,980.9,79.3035,2.8,1975.9
13301,895.1,89.4629,0,2609
13303,544.5,83.2954,4.9,1775.7
13305,902.4,88.504,3.4,2093.4
13307,574.5,51.4304,0,0
13309,444.2,78.8605,12.7,1193
13311,977.6,66.7496,0,1411.4
13313,715.9,179.471,1,1223.3
13315,817.1,65.5713,0,1645.5
13317,729,68.8028,10.1,2106.1
13319,1328,68.8391,0,2102.7
13321,857.2,62.0647,4.9,1886.8
15001,NaN,60.583,3,1283.7
15003,NaN,59.906,1.8,941.7
15005,NaN,NaN,0,0
15007,NaN,83.286,4.2,1031.4
15009,NaN,83.699,2.4,953.9
16001,NaN,25.0864,2.3,838.4
16003,NaN,16.74,0,0
16005,NaN,17.4403,1.1,1231.4
16007,NaN,6.313,16.5,1107.4
16009,NaN,24.463,10.8,1755.9
16011,NaN,12.5124,6.5,1215.5
16013,NaN,41.9349,4.4,677
16015,NaN,18.067,0,0
16017,NaN,28.1894,2.2,1290
16019,NaN,17.6395,1.7,1015.8
16021,NaN,25.619,8.4,1305.7
16023,NaN,37.006,38.3,0
16025,NaN,2.58,0,0
16027,NaN,15.9707,0.9,991.1
16029,NaN,16.03,14.2,1119
16031,NaN,23.8258,4.2,1127.2
16033,NaN,NaN,0,0
16035,NaN,28.923,22.8,1701.3
16037,NaN,11.89,0,0
16039,NaN,11.1356,3.7,1148.2
16041,NaN,4.558,7.3,1122
16043,NaN,7.4605,0,865.7
16045,NaN,9.7967,5.7,1417.7
16047,NaN,7.2613,6.6,1263.5
16049,NaN,18.9318,12.1,1453.4
16051,NaN,7.5843,0,808.5
16053,NaN,15.1698,4.2,957.7
16055,NaN,25.6996,2.5,1099
16057,NaN,15.5746,2.5,747.5
16059,NaN,19.962,12.6,1771.1
16061,NaN,18.314,0,0
16063,NaN,7.437,0,1007.5
16065,NaN,8.8262,2.5,396.9
16067,NaN,13.9087,4.8,1128.5
16069,NaN,20.8988,2.5,1343.8
16071,NaN,2.627,22.3,0
16073,NaN,8.741,0,1342.7
16075,NaN,9.1574,0,1329
16077,NaN,10.073,12.9,1171.5
16079,NaN,37.855,7.8,2071
16081,NaN,15.1727,8.6,541.2
16083,NaN,22.0769,2.3,1132.7
16085,NaN,35.862,18.1,987.2
16087,NaN,13.809,9.8,1210.5
17001,NaN,28.8193,1.5,1362.4
17003,NaN,25.3094,0,2310.2
17005,NaN,27.5852,6,1286.8
17007,NaN,52.028,1.9,1093.8
17009,NaN,16.767,0,1174.5
17011,NaN,23.8761,6.1,1476.1
17013,NaN,25.744,0,0
17015,NaN,26.4776,0,1537.2
17017,NaN,22.2011,0,1411.1
17019,NaN,20.6368,1.4,840.1
17021,NaN,27.582,6.1,1478.8
17023,NaN,35.266,0,1449.1
17025,NaN,41.978,7.5,1592.1
17027,NaN,24.1145,2.7,1099.9
17029,NaN,28.0536,2,1187
17031,NaN,35.906,1.4,1113
17033,NaN,26.7338,5.3,1350.6
17035,NaN,24.4882,0,1193.6
17037,NaN,27.8329,2.9,893
17039,NaN,22.9878,6.3,1464.9
17041,NaN,17.8838,0,1262.9
17043,NaN,26.4631,0.9,758.7
17045,NaN,24.0727,5.8,1543.8
17047,NaN,31.7775,0,1454.9
17049,NaN,27.894,2.9,1125.5
17051,NaN,28.8759,4.7,1456.9
17053,NaN,22.7003,7.5,1651.1
17055,NaN,39.241,2.6,1912.1
17057,NaN,36.182,2.9,1647.3
17059,NaN,19.288,0,2095.7
17061,NaN,22.253,7.7,1625.3
